               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.044022,            0.036273,            0.020237,             0.63388,             0.57268,             0.60871,             0.34023,            0.039302,            0.020638,            0.011987,            0.007129,            0.007129,            0.007129
                  60,            0.043733,            0.036082,            0.020095,             0.62957,             0.57797,             0.61175,              0.3441,            0.039366,            0.020617,            0.011979,           0.0070795,           0.0070795,           0.0070795
                  61,            0.043829,            0.036168,            0.020282,             0.64455,             0.58616,             0.62184,             0.34969,            0.039145,            0.020585,            0.011824,             0.00703,             0.00703,             0.00703
                  62,            0.043586,             0.03559,            0.019971,             0.65028,             0.58064,             0.61963,             0.35043,            0.039282,            0.020571,            0.012008,           0.0069805,           0.0069805,           0.0069805
                  63,            0.043543,            0.036216,            0.019988,             0.64268,                0.59,             0.61915,             0.35129,            0.039285,            0.020562,            0.011817,            0.006931,            0.006931,            0.006931
                  64,            0.043619,            0.036155,            0.020048,              0.6526,             0.58488,             0.62324,             0.35313,            0.039037,            0.020543,            0.011741,           0.0068815,           0.0068815,           0.0068815
                  65,            0.043324,            0.035846,            0.020019,             0.65256,             0.58524,             0.62497,             0.35534,            0.038961,            0.020503,            0.011389,            0.006832,            0.006832,            0.006832
                  66,            0.043365,            0.035763,            0.019794,             0.64024,             0.59666,             0.62703,             0.35779,            0.038983,            0.020492,            0.011166,           0.0067825,           0.0067825,           0.0067825
                  67,            0.043316,            0.036069,            0.019513,             0.65013,             0.58868,             0.62846,             0.35908,            0.038731,            0.020496,            0.011213,            0.006733,            0.006733,            0.006733
                  68,            0.043165,            0.035949,            0.019477,             0.65665,              0.5948,             0.63188,             0.36004,            0.038734,            0.020535,            0.011394,           0.0066835,           0.0066835,           0.0066835
                  69,             0.04329,            0.035946,            0.019499,             0.66159,             0.59487,             0.63606,             0.36306,            0.038693,            0.020407,              0.0112,            0.006634,            0.006634,            0.006634
                  70,            0.042987,            0.035611,            0.019167,             0.65887,             0.59603,             0.63615,             0.36383,            0.038619,            0.020359,             0.01118,           0.0065845,           0.0065845,           0.0065845
                  71,            0.042773,             0.03561,            0.019169,             0.66196,             0.59455,             0.63374,               0.363,             0.03849,            0.020351,            0.011057,            0.006535,            0.006535,            0.006535
                  72,            0.042911,            0.035667,            0.019065,             0.66533,             0.59052,             0.63421,             0.36497,            0.038408,            0.020323,            0.011069,           0.0064855,           0.0064855,           0.0064855
                  73,            0.042654,            0.035673,            0.018985,             0.66807,             0.59282,             0.63972,             0.36728,            0.038291,            0.020317,            0.011089,            0.006436,            0.006436,            0.006436
                  74,            0.042928,            0.035829,            0.019068,             0.67409,             0.59551,             0.64099,             0.36959,            0.038322,            0.020327,            0.011242,           0.0063865,           0.0063865,           0.0063865
                  75,            0.042772,            0.035738,            0.018819,             0.66732,             0.60185,             0.64413,             0.37237,            0.038212,            0.020293,            0.010994,            0.006337,            0.006337,            0.006337
                  76,            0.042583,            0.035746,             0.01891,             0.66507,             0.61031,             0.64975,             0.37557,            0.038221,            0.020234,            0.010932,           0.0062875,           0.0062875,           0.0062875
