               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.043003,            0.035674,            0.019276,             0.66442,              0.5988,              0.6369,             0.36589,            0.038523,            0.020321,            0.011667,           0.0065845,           0.0065845,           0.0065845
                  71,             0.04288,            0.035552,            0.019012,             0.65688,             0.59452,             0.63555,             0.36498,            0.038321,            0.020336,            0.011545,            0.006535,            0.006535,            0.006535
                  72,            0.042815,            0.035741,            0.019209,             0.65624,             0.59886,             0.63874,             0.36896,            0.038315,            0.020271,            0.011199,           0.0064855,           0.0064855,           0.0064855
                  73,            0.042646,            0.035725,            0.019116,             0.66023,             0.60469,             0.64243,             0.37164,            0.038109,            0.020279,            0.011124,            0.006436,            0.006436,            0.006436
                  74,             0.04275,             0.03583,            0.019098,             0.64777,              0.6138,             0.64342,             0.37297,            0.038026,            0.020229,            0.011204,           0.0063865,           0.0063865,           0.0063865
                  75,            0.042686,            0.035764,            0.018868,             0.66352,             0.59707,             0.64292,             0.37296,            0.038188,            0.020203,            0.011307,            0.006337,            0.006337,            0.006337
                  76,             0.04258,            0.035733,            0.018905,             0.65958,             0.60744,             0.64534,             0.37561,             0.03802,            0.020218,            0.011132,           0.0062875,           0.0062875,           0.0062875
                  77,            0.042436,             0.03568,            0.018773,             0.66322,             0.60929,             0.64611,             0.37597,            0.038042,            0.020181,            0.011198,            0.006238,            0.006238,            0.006238
                  78,            0.042445,            0.035236,            0.018699,             0.67028,             0.60582,             0.64504,             0.37633,            0.037971,            0.020166,            0.011114,           0.0061885,           0.0061885,           0.0061885
                  79,             0.04232,            0.035196,             0.01856,             0.67411,             0.61153,             0.65264,             0.38008,            0.037956,            0.020124,            0.010803,            0.006139,            0.006139,            0.006139
                  80,            0.042381,            0.035337,            0.018318,             0.66833,             0.61353,             0.65072,             0.37954,            0.037958,            0.020138,            0.010931,           0.0060895,           0.0060895,           0.0060895
                  81,            0.042311,            0.035443,            0.018256,             0.67607,              0.6103,             0.65228,             0.38219,            0.037835,            0.020103,             0.01098,             0.00604,             0.00604,             0.00604
                  82,            0.042028,             0.03536,            0.018334,             0.67058,             0.61116,             0.65218,             0.38308,            0.037818,            0.020075,            0.010899,           0.0059905,           0.0059905,           0.0059905
                  83,             0.04207,            0.035229,            0.018341,             0.67332,             0.61414,             0.65221,             0.38342,            0.037699,            0.020087,            0.010923,            0.005941,            0.005941,            0.005941
                  84,             0.04226,            0.035309,            0.017931,             0.67851,             0.61129,             0.65483,             0.38521,            0.037564,            0.020046,            0.010748,           0.0058915,           0.0058915,           0.0058915
                  85,            0.041952,            0.035168,             0.01817,             0.67115,             0.61851,             0.65795,             0.38649,            0.037462,             0.02004,            0.010697,            0.005842,            0.005842,            0.005842
                  86,            0.041898,            0.035335,            0.017726,             0.66889,             0.62783,             0.66065,              0.3896,            0.037485,            0.020007,            0.010669,           0.0057925,           0.0057925,           0.0057925
                  87,            0.041955,            0.035387,            0.017835,              0.6809,             0.62162,             0.66234,             0.39176,            0.037478,            0.019986,            0.010602,            0.005743,            0.005743,            0.005743
                  88,             0.04198,            0.035151,            0.017449,             0.68048,             0.62195,             0.66366,             0.39272,            0.037425,            0.019942,            0.010632,           0.0056935,           0.0056935,           0.0056935
                  89,            0.041806,            0.035308,            0.017505,             0.68051,              0.6217,             0.66484,             0.39236,            0.037423,            0.019944,            0.010613,            0.005644,            0.005644,            0.005644
                  90,            0.041517,            0.034934,            0.017701,             0.68489,             0.62207,              0.6669,             0.39375,            0.037395,            0.019939,            0.010566,           0.0055945,           0.0055945,           0.0055945
                  91,            0.041524,            0.035252,            0.017277,             0.68573,             0.62117,             0.66606,             0.39347,            0.037388,            0.019922,            0.010587,            0.005545,            0.005545,            0.005545
                  92,            0.041528,            0.035319,            0.017232,             0.68632,             0.62054,               0.667,             0.39448,            0.037398,            0.019924,            0.010704,           0.0054955,           0.0054955,           0.0054955
                  93,            0.041514,            0.035335,            0.017338,             0.68436,             0.62337,             0.66935,             0.39619,            0.037398,            0.019937,            0.010628,            0.005446,            0.005446,            0.005446
                  94,            0.041429,            0.035125,            0.017327,             0.68654,             0.62461,             0.66926,             0.39666,            0.037328,             0.01992,            0.010549,           0.0053965,           0.0053965,           0.0053965
                  95,            0.041243,            0.034875,            0.017224,             0.69152,             0.62417,              0.6711,             0.39864,            0.037259,            0.019912,            0.010417,            0.005347,            0.005347,            0.005347
                  96,            0.041324,            0.034944,            0.017248,             0.69734,             0.62413,             0.67157,             0.39939,            0.037234,            0.019903,            0.010322,           0.0052975,           0.0052975,           0.0052975
                  97,            0.041058,            0.034783,            0.016764,             0.70165,             0.62797,             0.67385,             0.40077,            0.037189,            0.019873,            0.010303,            0.005248,            0.005248,            0.005248
                  98,            0.041347,            0.035073,            0.016834,             0.70247,             0.62392,             0.67504,             0.40113,            0.037141,            0.019876,            0.010269,           0.0051985,           0.0051985,           0.0051985
                  99,            0.041312,            0.035097,             0.01685,             0.70371,             0.62144,             0.67576,             0.40162,             0.03711,            0.019852,            0.010217,            0.005149,            0.005149,            0.005149
                 100,            0.041007,            0.034644,            0.016749,             0.69916,             0.62559,             0.67584,             0.40307,            0.037057,            0.019855,            0.010179,           0.0050995,           0.0050995,           0.0050995
                 101,            0.040678,             0.03478,            0.016534,             0.69825,             0.62524,             0.67751,             0.40377,             0.03702,            0.019835,            0.010167,             0.00505,             0.00505,             0.00505
                 102,            0.040759,            0.034651,            0.016252,             0.69965,             0.62643,             0.67842,             0.40553,            0.037011,            0.019819,            0.010098,           0.0050005,           0.0050005,           0.0050005
                 103,            0.040752,            0.034635,            0.016472,             0.69816,             0.62835,             0.67965,             0.40586,            0.036981,              0.0198,            0.010131,            0.004951,            0.004951,            0.004951
                 104,            0.040743,            0.034738,            0.016522,             0.70404,             0.62551,             0.67903,              0.4061,            0.036953,            0.019796,            0.010149,           0.0049015,           0.0049015,           0.0049015
                 105,            0.040625,            0.034504,            0.016349,             0.69652,             0.63047,             0.68041,             0.40664,            0.036939,            0.019782,            0.010117,            0.004852,            0.004852,            0.004852
