epoch,com_a_0.74_mAP_0.5,com_a_0.75_mAP_0.5_0.95,atl_mAP_0.5,alt_mAP_0.5:0.95,L1_mAP_0.5,L1_mAP_0.5:0.95,MSE_mAP_0.5,MSE_mAP_0.5:0.95,com_a0.5_mAP_0.5,com_0.5_mAP_0.5:0.95,com_a0.25_mAP_0.5,com_a0.25_mAP_0.5:0.95
89,0.66484,0.39236,0.63549,0.37074,0.62812,0.36093,0.64148,0.36819,0.63936,0.36923,0.6598,0.38694
90,0.6669,0.39375,0.63666,0.37154,0.62852,0.36168,0.64221,0.36934,0.64,0.3699,0.66195,0.38839
91,0.66606,0.39347,0.63734,0.37241,0.62999,0.36286,0.64305,0.37002,0.64085,0.371,0.66293,0.38976
92,0.667,0.39448,0.63815,0.37339,0.63079,0.36339,0.64381,0.37069,0.64171,0.37218,0.6636,0.39146
93,0.66935,0.39619,0.63973,0.37407,0.63049,0.36381,0.64483,0.3718,0.64241,0.37282,0.66385,0.39263
94,0.66926,0.39666,0.64051,0.37462,0.63204,0.36456,0.64561,0.37248,0.64346,0.37395,0.66588,0.39352
95,0.6711,0.39864,0.64156,0.37564,0.63286,0.36529,0.64683,0.3732,0.64436,0.37445,0.66716,0.39523
96,0.67157,0.39939,0.64208,0.37598,0.63366,0.36597,0.64764,0.37423,0.64502,0.37518,0.66768,0.39502
97,0.67385,0.40077,0.64283,0.37658,0.63382,0.36625,0.64865,0.37479,0.64592,0.37618,0.66855,0.39593
98,0.67504,0.40113,0.64399,0.37757,0.6345,0.36718,0.64931,0.37548,0.64681,0.37693,0.66996,0.39725
99,0.67576,0.40162,0.64512,0.37857,0.63554,0.36792,0.65027,0.37635,0.64714,0.37752,0.67153,0.3981
100,0.67584,0.40307,0.64565,0.37891,0.63609,0.36874,0.65103,0.37721,0.64838,0.37891,0.67327,0.39952
101,0.67751,0.40377,0.64616,0.37947,0.63693,0.36976,0.65197,0.37789,0.64887,0.37932,0.67487,0.40025
102,0.67842,0.40553,0.64713,0.38048,0.63769,0.37058,0.65294,0.37856,0.64957,0.38005,0.67617,0.40131
103,0.67965,0.40586,0.6485,0.3811,0.63887,0.37124,0.65443,0.3793,0.65045,0.38085,0.67619,0.40169
104,0.67903,0.4061,0.64947,0.38208,0.63966,0.37209,0.65457,0.38012,0.65178,0.38202,0.67693,0.40253
105,0.68041,0.40664,0.65073,0.38272,0.6408,0.37296,0.65501,0.38065,0.65213,0.38295,0.67841,0.40344
106,0.67986,0.40699,0.65184,0.38361,0.64235,0.37358,0.65626,0.3816,0.65263,0.38346,0.67911,0.40335
107,0.67961,0.40718,0.65312,0.38426,0.64272,0.37431,0.65695,0.38248,0.65345,0.38437,0.68028,0.40489
108,0.68049,0.40793,0.65436,0.38501,0.6442,0.37502,0.65838,0.38323,0.65434,0.38533,0.68165,0.4061
109,0.68112,0.40915,0.65544,0.38577,0.64517,0.37605,0.65899,0.38387,0.65498,0.38604,0.68094,0.40618
110,0.68117,0.4099,0.65593,0.38675,0.64531,0.37661,0.66001,0.38455,0.65548,0.3868,0.68198,0.40649
111,0.68191,0.40998,0.65674,0.38749,0.64667,0.37708,0.66044,0.38526,0.6567,0.38744,0.68231,0.40724
112,0.68193,0.41057,0.65796,0.38817,0.6478,0.37787,0.6613,0.38632,0.65792,0.38828,0.68215,0.40741
113,0.68289,0.4111,0.65892,0.38942,0.64831,0.3785,0.66203,0.38699,0.65875,0.38921,0.68296,0.4079
114,0.68351,0.41192,0.65998,0.39034,0.64918,0.37962,0.66293,0.38765,0.65972,0.38979,0.68388,0.40808
115,0.68405,0.4118,0.66046,0.39118,0.64982,0.38012,0.66352,0.38802,0.66048,0.39039,0.68419,0.40841
116,0.68491,0.41213,0.66119,0.3914,0.65093,0.38086,0.66431,0.38912,0.66074,0.39136,0.68505,0.40911
117,0.6855,0.41251,0.66234,0.3927,0.65193,0.38187,0.66515,0.38965,0.66221,0.3921,0.68575,0.40951
118,0.68622,0.41307,0.66371,0.39385,0.65322,0.38303,0.66566,0.39039,0.66318,0.39275,0.68615,0.41033
119,0.68702,0.41379,0.66455,0.39459,0.65411,0.38408,0.66634,0.39104,0.66364,0.39352,0.68622,0.41114
120,0.68736,0.41415,0.66549,0.39558,0.65521,0.38459,0.66709,0.39168,0.66432,0.39368,0.68597,0.41156
121,0.68749,0.41511,0.6663,0.3965,0.6556,0.38525,0.66828,0.39218,0.66509,0.39428,0.68635,0.41151
122,0.6877,0.41582,0.66684,0.39712,0.65663,0.38613,0.66909,0.39317,0.66564,0.39483,0.68704,0.41208
123,0.68823,0.41626,0.66747,0.3976,0.65757,0.38646,0.66953,0.39349,0.66646,0.39528,0.68749,0.41231
124,0.68882,0.4163,0.66866,0.39834,0.65881,0.38731,0.67024,0.39415,0.66715,0.39621,0.68801,0.41278
125,0.68887,0.41675,0.66918,0.39939,0.6598,0.38827,0.67088,0.39499,0.66826,0.39643,0.68848,0.41334
126,0.68894,0.41726,0.67031,0.39981,0.66044,0.38914,0.67116,0.39586,0.66938,0.39742,0.68884,0.41399
127,0.68954,0.41751,0.67113,0.40038,0.66145,0.38997,0.67199,0.39644,0.67001,0.39784,0.68906,0.41405
128,0.6902,0.41794,0.67187,0.40112,0.66223,0.3904,0.67261,0.3969,0.67076,0.39855,0.68941,0.4144
129,0.69074,0.4188,0.6728,0.40203,0.6631,0.39126,0.67366,0.39776,0.67185,0.39971,0.69,0.41508
130,0.69093,0.41883,0.67372,0.40239,0.66434,0.39178,0.67435,0.39822,0.67184,0.40014,0.69003,0.41534
131,0.69134,0.4195,0.6744,0.40299,0.66488,0.39256,0.6751,0.39882,0.67249,0.40051,0.69066,0.41575
132,0.69184,0.4203,0.67517,0.40358,0.66542,0.39319,0.67558,0.39961,0.67299,0.40122,0.69107,0.41579
133,0.69228,0.42068,0.676,0.4041,0.66616,0.39406,0.67642,0.39995,0.67399,0.40196,0.69159,0.41604
134,0.69229,0.4207,0.67676,0.40493,0.66674,0.395,0.67646,0.40061,0.6745,0.40229,0.69192,0.41633
135,0.6927,0.42122,0.67756,0.40558,0.66743,0.39557,0.67748,0.40136,0.67495,0.40312,0.69198,0.4167
136,0.69301,0.42122,0.67802,0.40606,0.6681,0.39637,0.67848,0.40211,0.67584,0.40393,0.69217,0.4169
137,0.69328,0.42171,0.67846,0.40664,0.66862,0.3969,0.67884,0.40268,0.67638,0.40468,0.6926,0.41712
138,0.69322,0.42182,0.67916,0.4075,0.6698,0.39759,0.67955,0.40323,0.67685,0.40522,0.69309,0.4173
139,0.69387,0.42222,0.68027,0.40828,0.67034,0.39838,0.68015,0.40412,0.67773,0.40615,0.69349,0.41773
140,0.69415,0.42255,0.68088,0.40895,0.67056,0.39894,0.68071,0.40449,0.67858,0.40694,0.694,0.41785
141,0.69421,0.42317,0.68154,0.40928,0.67157,0.39966,0.68106,0.40491,0.67949,0.40742,0.69378,0.41813
142,0.69481,0.42358,0.68145,0.40996,0.67173,0.40021,0.68158,0.40531,0.68004,0.40839,0.69413,0.41848
143,0.69493,0.42346,0.6817,0.41032,0.67269,0.40091,0.68217,0.40602,0.68085,0.4088,0.69437,0.41863
144,0.69505,0.42377,0.6821,0.41081,0.67398,0.40187,0.68286,0.40665,0.68159,0.40923,0.69459,0.41879
145,0.69531,0.42399,0.68283,0.41095,0.67449,0.40269,0.68335,0.4073,0.68185,0.40946,0.69483,0.41896
146,0.69543,0.42411,0.68306,0.41182,0.67498,0.40286,0.68397,0.40764,0.6826,0.41015,0.69476,0.41935
147,0.69568,0.42454,0.68403,0.41244,0.6756,0.40344,0.68453,0.40807,0.683,0.41056,0.69499,0.41965
148,0.69595,0.42446,0.68518,0.41333,0.67618,0.40379,0.68479,0.40841,0.68336,0.41072,0.69517,0.4199
149,0.69635,0.42499,0.68564,0.41376,0.6769,0.40455,0.68557,0.40918,0.68415,0.41128,0.69581,0.42013
150,0.69684,0.42506,0.68623,0.41442,0.67748,0.40511,0.6863,0.40936,0.68474,0.41193,0.69593,0.42047
151,0.6969,0.42544,0.68705,0.41531,0.67807,0.40581,0.68682,0.40983,0.68529,0.41266,0.69613,0.42102
152,0.69722,0.42575,0.68774,0.41585,0.67894,0.40609,0.68656,0.41025,0.68559,0.41329,0.69628,0.42113
153,0.69765,0.42572,0.68784,0.41625,0.67966,0.40657,0.68717,0.41077,0.68626,0.414,0.69669,0.42127
154,0.69747,0.42589,0.68862,0.41687,0.68029,0.40724,0.68802,0.41144,0.6874,0.41465,0.69685,0.42136
155,0.6978,0.42589,0.68921,0.41737,0.68069,0.40795,0.68859,0.41172,0.68767,0.41528,0.69715,0.42163
156,0.69761,0.42625,0.68972,0.41808,0.68177,0.40859,0.68906,0.41263,0.68815,0.41573,0.69745,0.42182
157,0.69781,0.42662,0.69054,0.41896,0.68243,0.40936,0.68955,0.41332,0.68868,0.4161,0.69765,0.42211
158,0.6982,0.42689,0.69092,0.41954,0.68317,0.41006,0.68967,0.41368,0.68964,0.41683,0.69773,0.42254
159,0.69872,0.42724,0.69167,0.41989,0.68357,0.41066,0.69027,0.4142,0.69032,0.41749,0.69791,0.42288
160,0.69884,0.42761,0.69174,0.42055,0.68398,0.41124,0.69045,0.41451,0.69081,0.4179,0.69824,0.42315
161,0.69896,0.42767,0.69265,0.42091,0.68466,0.41192,0.69107,0.41494,0.69175,0.41874,0.69885,0.4232
162,0.69901,0.42792,0.69352,0.42125,0.6855,0.41255,0.69139,0.41551,0.69243,0.41943,0.69906,0.42331
163,0.69902,0.42837,0.6941,0.42172,0.6861,0.41281,0.69154,0.41593,0.69323,0.42023,0.6992,0.42371
164,0.69887,0.42863,0.69487,0.42251,0.68672,0.41353,0.69219,0.41646,0.69388,0.42101,0.69977,0.42402
165,0.69932,0.42872,0.69529,0.4228,0.68733,0.41408,0.69267,0.41703,0.6942,0.42139,0.69992,0.42398
166,0.69944,0.42913,0.69544,0.42306,0.6874,0.41438,0.69278,0.41762,0.69432,0.42175,0.70018,0.42444
167,0.69939,0.42903,0.69598,0.42376,0.68798,0.4148,0.69403,0.41835,0.69507,0.42211,0.70051,0.42484
168,0.69953,0.4295,0.69659,0.42454,0.68839,0.41533,0.69474,0.41871,0.69532,0.42238,0.70094,0.42495
